"filename", "language", "TypeScript", "Vue", "Markdown", "Less", "JSON with Comments", "JSON", "JavaScript", "ReactNativeToolsOutput", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/modal/index.zh-CN.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 112
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/password/index.zh-CN.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/ScRadioGroup.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/ScRadioTooltipGroup.vue", "Vue", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 94
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/components/types.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/basic.vue", "Vue", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/styleMode.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/demo/tooltip.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/radio/index.zh-CN.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/ScStep.vue", "Vue", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 252
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/ScSteps.vue", "Vue", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/component/type.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 63
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/steps/demo/basic.vue", "Vue", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
